===== BUILD COMPLETE =====
Loading dataset...
Dataset loaded!
[Epoch 0/1] Training...
Loss: 2.858233 [10/60000]
Loss: 1.287988 [1010/60000]
Loss: 1.066000 [2010/60000]
Loss: 1.110768 [3010/60000]
Loss: 0.354142 [4010/60000]
Loss: 0.458617 [5010/60000]
Loss: 0.194756 [6010/60000]
Loss: 0.753737 [7010/60000]
Loss: 1.151565 [8010/60000]
Loss: 0.639027 [9010/60000]
Loss: 0.403397 [10010/60000]
Loss: 0.719694 [11010/60000]
Loss: 0.642619 [12010/60000]
Loss: 0.169147 [13010/60000]
Loss: 0.534335 [14010/60000]
Loss: 0.281775 [15010/60000]
Loss: 0.601053 [16010/60000]
Loss: 0.207024 [17010/60000]
Loss: 0.557908 [18010/60000]
Loss: 0.271310 [19010/60000]
Loss: 0.600427 [20010/60000]
Loss: 0.207649 [21010/60000]
Loss: 0.437853 [22010/60000]
Loss: 0.342760 [23010/60000]
Loss: 0.572437 [24010/60000]
Loss: 0.476049 [25010/60000]
Loss: 0.889455 [26010/60000]
Loss: 0.322718 [27010/60000]
Loss: 0.373853 [28010/60000]
Loss: 0.383624 [29010/60000]
Loss: 0.283553 [30010/60000]
Loss: 0.193992 [31010/60000]
Loss: 0.604781 [32010/60000]
Loss: 0.711073 [33010/60000]
Loss: 0.126434 [34010/60000]
Loss: 0.502345 [35010/60000]
Loss: 0.217336 [36010/60000]
Loss: 0.308537 [37010/60000]
Loss: 0.285632 [38010/60000]
Loss: 0.713518 [39010/60000]
Loss: 0.913928 [40010/60000]
Loss: 0.538539 [41010/60000]
Loss: 0.418609 [42010/60000]
Loss: 0.122395 [43010/60000]
Loss: 0.577914 [44010/60000]
Loss: 0.357627 [45010/60000]
Loss: 0.137634 [46010/60000]
Loss: 0.541133 [47010/60000]
Loss: 0.289071 [48010/60000]
Loss: 0.239521 [49010/60000]
Loss: 0.286522 [50010/60000]
Loss: 0.132675 [51010/60000]
Loss: 0.331617 [52010/60000]
Loss: 0.154010 [53010/60000]
Loss: 0.854984 [54010/60000]
Loss: 0.434454 [55010/60000]
Loss: 0.465768 [56010/60000]
Loss: 0.550308 [57010/60000]
Loss: 0.678746 [58010/60000]
Loss: 0.420783 [59010/60000]
[Epoch 0/1] Testing...
Test error: 
accuracy: 84.3%
average loss: 0.442368
