Loading dataset...
Dataset loaded!
[Epoch 0/1] Training...
Loss: 2.135796 [10/60000]
Loss: 1.357989 [1010/60000]
Loss: 0.531037 [2010/60000]
Loss: 0.518291 [3010/60000]
Loss: 0.372603 [4010/60000]
Loss: 0.421992 [5010/60000]
Loss: 0.395635 [6010/60000]
Loss: 0.129628 [7010/60000]
Loss: 0.333049 [8010/60000]
Loss: 0.224524 [9010/60000]
Loss: 0.702635 [10010/60000]
Loss: 0.243464 [11010/60000]
Loss: 0.185109 [12010/60000]
Loss: 1.125283 [13010/60000]
Loss: 0.053743 [14010/60000]
Loss: 0.058557 [15010/60000]
Loss: 0.082684 [16010/60000]
Loss: 0.183197 [17010/60000]
Loss: 0.076822 [18010/60000]
Loss: 0.593057 [19010/60000]
Loss: 0.192508 [20010/60000]
Loss: 0.783830 [21010/60000]
Loss: 0.295475 [22010/60000]
Loss: 0.128437 [23010/60000]
Loss: 0.144568 [24010/60000]
Loss: 0.579270 [25010/60000]
Loss: 0.749780 [26010/60000]
Loss: 0.145635 [27010/60000]
Loss: 1.149622 [28010/60000]
Loss: 0.224474 [29010/60000]
Loss: 0.727535 [30010/60000]
Loss: 0.205646 [31010/60000]
Loss: 0.247260 [32010/60000]
Loss: 0.210015 [33010/60000]
Loss: 0.231539 [34010/60000]
Loss: 0.222824 [35010/60000]
Loss: 0.096367 [36010/60000]
Loss: 1.045137 [37010/60000]
Loss: 0.200464 [38010/60000]
Loss: 0.180697 [39010/60000]
Loss: 0.047198 [40010/60000]
Loss: 0.224223 [41010/60000]
Loss: 0.033181 [42010/60000]
Loss: 0.155171 [43010/60000]
Loss: 0.161071 [44010/60000]
Loss: 0.154049 [45010/60000]
Loss: 0.081159 [46010/60000]
Loss: 0.248159 [47010/60000]
Loss: 0.836139 [48010/60000]
Loss: 0.084333 [49010/60000]
Loss: 0.058159 [50010/60000]
Loss: 0.013832 [51010/60000]
Loss: 0.192832 [52010/60000]
Loss: 0.112157 [53010/60000]
Loss: 0.008825 [54010/60000]
Loss: 0.007463 [55010/60000]
Loss: 0.189179 [56010/60000]
Loss: 0.062275 [57010/60000]
Loss: 0.287713 [58010/60000]
Loss: 0.031420 [59010/60000]
[Epoch 0/1] Testing...
Test error: 
accuracy: 94.5%
average loss: 0.190158
